PERSON_ID,QUESTION_ID,CHOICE_ID,ANSWER,F04_FREQUENCY,,,
1,F01,1,1,NA,,,
1,F01,2,0,NA,,,
1,F01,3,0,NA,,,
1,F01,4,0,NA,,,
1,F01,5,0,NA,,,
1,F01,6,0,NA,,,
1,F01,7,0,NA,,,
1,F04,1,1,taeglich,,,
1,F04,2,1,taeglich,,,
1,F04,3,1,woechentlich,,,
1,F04,4,0,NA,,,
1,F04,5,0,NA,,,
1,F04,6,0,NA,,,
1,F04,7,0,NA,,,
1,F04,8,0,NA,,,
1,F04,9,0,NA,,,
1,F08,1,0,NA,,,
1,F08,2,1,NA,,,
1,F08,3,0,NA,,,
1,F08,4,0,NA,,,
1,F08,5,0,NA,,,
1,F08,6,0,NA,,,
1,F08,7,0,NA,,,
1,F08,8,0,NA,,,
1,F08,9,1,NA,,,
1,F08,10,1,NA,,,
1,F08,11,0,NA,,,
1,F08,12,0,NA,,,
1,F08,13,0,NA,,,
1,F12,1,0,NA,,,
1,F12,2,0,NA,,,
1,F12,3,0,NA,,,
1,F12,4,0,NA,,,
1,F12,5,0,NA,,,
1,F12,6,0,NA,,,
1,F12,7,1,NA,,,
1,F17,1,0,NA,,,
1,F17,2,0,NA,,,
1,F17,3,0,NA,,,
1,F17,4,0,NA,,,
1,F17,5,0,NA,,,
1,F17,6,0,NA,,,
1,F18,1,0,NA,,,
1,F18,2,0,NA,,,
1,F18,3,0,NA,,,
1,F18,4,0,NA,,,
2,F01,1,1,NA,,,
2,F01,2,0,NA,,,
2,F01,3,0,NA,,,
2,F01,4,0,NA,,,
2,F01,5,1,NA,,,
2,F01,6,0,NA,,,
2,F01,7,0,NA,,,
2,F04,1,1,taeglich,,,
2,F04,2,1,taeglich,,,
2,F04,3,1,woechentlich,,,
2,F04,4,0,NA,,,
2,F04,5,0,NA,,,
2,F04,6,0,NA,,,
2,F04,7,0,NA,,,
2,F04,8,0,NA,,,
2,F04,9,0,NA,,,
2,F08,1,0,NA,,,
2,F08,2,0,NA,,,
2,F08,3,0,NA,,,
2,F08,4,0,NA,,,
2,F08,5,0,NA,,,
2,F08,6,0,NA,,,
2,F08,7,1,NA,,,
2,F08,8,0,NA,,,
2,F08,9,1,NA,,,
2,F08,10,1,NA,,,
2,F08,11,1,NA,,,
2,F08,12,0,NA,,,
2,F08,13,0,NA,,,
2,F12,1,0,NA,,,
2,F12,2,0,NA,,,
2,F12,3,0,NA,,,
2,F12,4,0,NA,,,
2,F12,5,0,NA,,,
2,F12,6,0,NA,,,
2,F12,7,1,passiv,,,
2,F17,1,0,NA,,,
2,F17,2,0,NA,,,
2,F17,3,0,NA,,,
2,F17,4,1,NA,,,
2,F17,5,0,NA,,,
2,F17,6,0,NA,,,
2,F18,1,0,NA,,,
2,F18,2,0,NA,,,
2,F18,3,1,NA,,,
2,F18,4,0,NA,,,
3,F01,1,0,NA,,,
3,F01,2,1,NA,,,
3,F01,3,0,NA,,,
3,F01,4,0,NA,,,
3,F01,5,0,NA,,,
3,F01,6,0,NA,,,
3,F01,7,0,NA,,,
3,F04,1,0,NA,,,
3,F04,2,1,NA,,,
3,F04,3,0,NA,,,
3,F04,4,0,NA,,,
3,F04,5,0,NA,,,
3,F04,6,0,NA,,,
3,F04,7,0,NA,,,
3,F04,8,0,NA,,,
3,F04,9,0,NA,,,
3,F08,1,0,NA,,,
3,F08,2,1,NA,,,
3,F08,3,1,NA,,,
3,F08,4,0,NA,,,
3,F08,5,0,NA,,,
3,F08,6,0,NA,,,
3,F08,7,1,NA,,,
3,F08,8,1,NA,,,
3,F08,9,1,NA,,,
3,F08,10,1,NA,,,
3,F08,11,1,NA,,,
3,F08,12,1,NA,,,
3,F08,13,0,NA,,,
3,F12,1,0,NA,,,
3,F12,2,0,NA,,,
3,F12,3,0,NA,,,
3,F12,4,0,NA,,,
3,F12,5,0,NA,,,
3,F12,6,0,NA,,,
3,F12,7,0,NA,,,
3,F17,1,0,NA,,,
3,F17,2,0,NA,,,
3,F17,3,0,NA,,,
3,F17,4,0,NA,,,
3,F17,5,0,NA,,,
3,F17,6,0,NA,,,
3,F18,1,0,NA,,,
3,F18,2,0,NA,,,
3,F18,3,0,NA,,,
3,F18,4,0,NA,,,
4,F01,1,1,NA,,,
4,F01,2,0,NA,,,
4,F01,3,0,NA,,,
4,F01,4,0,NA,,,
4,F01,5,0,NA,,,
4,F01,6,0,NA,,,
4,F01,7,0,NA,,,
4,F04,1,1,taeglich,,,
4,F04,2,1,taeglich,,,
